x-axis,1
second,Volt
-4.90000E-06,+4.20590572E-03
-4.87750E-06,+36.91947402E-03
-4.85500E-06,+32.24610712E-03
-4.83250E-06,+6.54258917E-03
-4.81000E-06,-14.48756189E-03
-4.78750E-06,-20.32927051E-03
-4.76500E-06,+13.55263952E-03
-4.74250E-06,+46.26620782E-03
-4.72000E-06,-7.47751154E-03
-4.69750E-06,+17.05766469E-03
-4.67500E-06,+24.06771504E-03
-4.65250E-06,-9.81419499E-03
-4.63000E-06,+17.05766469E-03
-4.60750E-06,+15.88932297E-03
-4.58500E-06,+20.56268987E-03
-4.56250E-06,+25.23605677E-03
-4.54000E-06,+4.20590572E-03
-4.51750E-06,+34.58279057E-03
-4.49500E-06,+17.05766469E-03
-4.47250E-06,+54.44459990E-03
-4.45000E-06,+48.60289127E-03
-4.42750E-06,+15.88932297E-03
-4.40500E-06,-20.32927051E-03
-4.38250E-06,+17.05766469E-03
-4.36000E-06,-7.47751154E-03
-4.33750E-06,+17.05766469E-03
-4.31500E-06,+17.05766469E-03
-4.29250E-06,+17.05766469E-03
-4.27000E-06,-8.64585326E-03
-4.24750E-06,+17.05766469E-03
-4.22500E-06,+13.55263952E-03
-4.20250E-06,+46.26620782E-03
-4.18000E-06,+54.44459990E-03
-4.15750E-06,-2.80414463E-03
-4.13500E-06,+39.25615747E-03
-4.11250E-06,+27.57274022E-03
-4.09000E-06,+48.60289127E-03
-4.06750E-06,+15.88932297E-03
-4.04500E-06,-20.32927051E-03
-4.02250E-06,+17.05766469E-03
-4.00000E-06,+66.12801715E-03
-3.97750E-06,-2.80414463E-03
-3.95500E-06,+17.05766469E-03
-3.93250E-06,-9.81419499E-03
-3.91000E-06,+48.60289127E-03
-3.88750E-06,+15.88932297E-03
-3.86500E-06,+47.43454955E-03
-3.84250E-06,+8.87927262E-03
-3.82000E-06,-7.47751153E-03
-3.79750E-06,+17.05766469E-03
-3.77500E-06,+17.05766469E-03
-3.75250E-06,+54.44459990E-03
-3.73000E-06,+22.89937332E-03
-3.70750E-06,-19.16092879E-03
-3.68500E-06,+17.05766469E-03
-3.66250E-06,+8.87927262E-03
-3.64000E-06,+17.05766469E-03
-3.61750E-06,-467.46119E-06
-3.59500E-06,+32.24610712E-03
-3.57250E-06,+54.44459990E-03
-3.55000E-06,+11.21595607E-03
-3.52750E-06,+17.05766469E-03
-3.50500E-06,+17.05766469E-03
-3.48250E-06,+17.05766469E-03
-3.46000E-06,+17.05766469E-03
-3.43750E-06,+17.05766469E-03
-3.41500E-06,+54.44459990E-03
-3.39250E-06,+27.57274022E-03
-3.37000E-06,+22.89937332E-03
-3.34750E-06,+53.27625817E-03
-3.32500E-06,-20.32927051E-03
-3.30250E-06,-12.15087844E-03
-3.28000E-06,-20.32927051E-03
-3.25750E-06,+34.58279057E-03
-3.23500E-06,-5.14082809E-03
-3.21250E-06,+43.92952437E-03
-3.19000E-06,+48.60289127E-03
-3.16750E-06,+17.05766469E-03
-3.14500E-06,+13.55263952E-03
-3.12250E-06,+25.23605677E-03
-3.10000E-06,+29.90942367E-03
-3.07750E-06,+34.58279057E-03
-3.05500E-06,+54.44459990E-03
-3.03250E-06,+43.92952437E-03
-3.01000E-06,-8.64585326E-03
-2.98750E-06,+54.44459990E-03
-2.96500E-06,-20.32927051E-03
-2.94250E-06,+17.05766469E-03
-2.92000E-06,+41.59284092E-03
-2.89750E-06,-467.46119E-06
-2.87500E-06,+17.05766469E-03
-2.85250E-06,+17.05766469E-03
-2.83000E-06,+22.89937332E-03
-2.80750E-06,+15.88932297E-03
-2.78500E-06,+13.55263952E-03
-2.76250E-06,+8.87927262E-03
-2.74000E-06,-7.47751153E-03
-2.71750E-06,+17.05766469E-03
-2.69500E-06,+17.05766469E-03
-2.67250E-06,+6.54258917E-03
-2.65000E-06,+22.89937332E-03
-2.62750E-06,+17.05766469E-03
-2.60500E-06,+54.44459990E-03
-2.58250E-06,+17.05766469E-03
-2.56000E-06,+17.05766469E-03
-2.53750E-06,+17.05766469E-03
-2.51500E-06,+17.05766469E-03
-2.49250E-06,+6.54258917E-03
-2.47000E-06,+17.05766469E-03
-2.44750E-06,+17.05766469E-03
-2.42500E-06,+50.93957472E-03
-2.40250E-06,+17.05766469E-03
-2.38000E-06,-7.47751153E-03
-2.35750E-06,+17.05766469E-03
-2.33500E-06,+69.63304232E-03
-2.31250E-06,+43.92952437E-03
-2.29000E-06,+22.89937332E-03
-2.26750E-06,-20.32927051E-03
-2.24500E-06,-20.32927051E-03
-2.22250E-06,+17.05766469E-03
-2.20000E-06,+17.05766469E-03
-2.17750E-06,+34.58279057E-03
-2.15500E-06,+17.05766469E-03
-2.13250E-06,+6.54258917E-03
-2.11000E-06,+48.60289127E-03
-2.08750E-06,+15.88932297E-03
-2.06500E-06,+13.55263952E-03
-2.04250E-06,-20.32927051E-03
-2.02000E-06,+17.05766469E-03
-1.99750E-06,-467.46119E-06
-1.97500E-06,+17.05766469E-03
-1.95250E-06,-9.81419499E-03
-1.93000E-06,-14.48756189E-03
-1.90750E-06,+17.05766469E-03
-1.88500E-06,-13.31922016E-03
-1.86250E-06,+46.26620782E-03
-1.84000E-06,+17.05766469E-03
-1.81750E-06,+17.05766469E-03
-1.79500E-06,+17.05766469E-03
-1.77250E-06,+54.44459990E-03
-1.75000E-06,+17.05766469E-03
-1.72750E-06,+15.88932297E-03
-1.70500E-06,+13.55263952E-03
-1.68250E-06,+54.44459990E-03
-1.66000E-06,+4.20590571E-03
-1.63750E-06,-467.46119E-06
-1.61500E-06,+39.25615747E-03
-1.59250E-06,+6.54258917E-03
-1.57000E-06,+11.21595607E-03
-1.54750E-06,+18.22600642E-03
-1.52500E-06,+17.05766469E-03
-1.50250E-06,+17.05766469E-03
-1.48000E-06,+54.44459990E-03
-1.45750E-06,+54.44459990E-03
-1.43500E-06,+32.24610712E-03
-1.41250E-06,+54.44459990E-03
-1.39000E-06,+17.05766469E-03
-1.36750E-06,-19.16092879E-03
-1.34500E-06,+17.05766469E-03
-1.32250E-06,+17.05766469E-03
-1.30000E-06,+4.20590571E-03
-1.27750E-06,-467.46119E-06
-1.25500E-06,+17.05766469E-03
-1.23250E-06,+17.05766469E-03
-1.21000E-06,+22.89937332E-03
-1.18750E-06,+53.27625817E-03
-1.16500E-06,+20.56268987E-03
-1.14250E-06,+17.05766469E-03
-1.12000E-06,+17.05766469E-03
-1.09750E-06,-2.80414463E-03
-1.07500E-06,+1.86922227E-03
